paper_id,model_name,paper_title,authors,publication_year,venue,model_family,input_type,graph_type,expert_or_learned_graph,datasets_used,swat_evaluated,official_paper_url,official_source_code_url,repository_license,latest_repository_activity,python_pytorch_requirements,expected_implementation_difficulty,compatibility,recommendation,recommendation_reason,uncertainties
gdn_2021,GDN,Graph Neural Network-Based Anomaly Detection in Multivariate Time Series,Ailin Deng; Bryan Hooi,2021,AAAI,graph_forecasting,temporal,learned sensor graph,learned,SWaT; WADI; MSL demo in repo,yes,https://arxiv.org/abs/2106.06947,https://github.com/d-ailin/GDN,MIT (verified from official GitHub repository page),"Latest commit shown by GitHub: 3f809a5 (init, 5 years ago); exact full SHA unavailable because git ls-remote returned CONNECT tunnel 403 on 2026-07-18.",Official README: Python>=3.6; CUDA 10.2; PyTorch 1.5.1; torch-geometric 1.5.0. Benchmark adapter supports current PyTorch CPU/CUDA without torch-geometric.,medium,Ford=high; SWaT=high; PaySim=low; Arrhythmia=low,main_benchmark,Implemented as a clean-room benchmark adapter with attribution; original upstream is MIT-licensed but not vendored.,Full upstream SHA must be pinned in an unrestricted network before archival experiments; adapter is clean-room and does not vendor upstream code.
mtad_gat_2020,MTAD-GAT,Multivariate Time-series Anomaly Detection via Graph Attention Network,Hang Zhao; Yujing Wang; Juanyong Duan; Congrui Huang; Defu Cao; Yunhai Tong; Bixiong Xu; Jing Bai; Jie Tong; Qi Zhang,2020,ICDM,graph_attention_forecast_reconstruct,temporal,feature and temporal attention graphs,learned,SMD; SMAP; MSL,not verified,https://arxiv.org/abs/2009.02040,https://github.com/ML4ITS/mtad-gat-pytorch,MIT (repo page snippet),Repository updated Aug 9 2024 per GitHub organization snippet; unofficial/heavily inspired implementation,Python/PyTorch; exact versions not verified,medium,Ford=high; SWaT=medium; PaySim=low; Arrhythmia=low,main_benchmark,Foundational graph-attention baseline; use with caution because common repo is not original reproduction,official author repo not verified
tranad_2022,TranAD,TranAD: Deep Transformer Networks for Anomaly Detection in Multivariate Time Series Data,Shreshth Tuli; Giuliano Casale; Nicholas R. Jennings,2022,PVLDB,transformer_forecast_reconstruct,temporal,attention graph implicit,learned implicit,SMAP; MSL; SWaT; WADI; SMD; MSDS; UCR; MBA; NAB,yes,https://arxiv.org/abs/2201.07284,https://github.com/imperial-qore/TranAD,BSD-3-Clause,GitHub page observed 110 commits; exact latest activity not verified,Python>=3.7; torch 1.8.1+cpu in README,medium,Ford=high; SWaT=high; PaySim=low; Arrhythmia=low,main_benchmark,Strong reproducible transformer baseline with official repo and SWaT support,activity date not verified
anomaly_transformer_2022,Anomaly Transformer,Anomaly Transformer: Time Series Anomaly Detection with Association Discrepancy,Jiehui Xu; Haixu Wu; Jianmin Wang; Mingsheng Long,2022,ICLR Spotlight,transformer_reconstruction,temporal,association-discrepancy attention,learned implicit,SMD; MSL; SMAP; PSM,not in official scripts,https://openreview.net/forum?id=LzQQ89U1qm_,https://github.com/thuml/Anomaly-Transformer,MIT,GitHub page observed 29 commits; exact latest activity not verified,Python 3.6; PyTorch >=1.4.0,medium,Ford=high; SWaT=medium; PaySim=low; Arrhythmia=low,main_benchmark,Canonical transformer MTSAD with official code,uses point adjustment in original evaluation
diffad_2023,DiffAD,Imputation-based Time-Series Anomaly Detection with Conditional Weight-Incremental Diffusion Models,Chunjing Xiao; Zehua Gou; Wenxin Tai; Kunpeng Zhang; Fan Zhou,2023,KDD,diffusion_imputation,temporal,none,not applicable,PSM; MSL; SMAP; SMD; SWaT,yes,https://dl.acm.org/doi/abs/10.1145/3580305.3599391,https://github.com/ChunjingXiao/DiffAD,not visible on GitHub page,GitHub page observed 22 commits; exact latest activity not verified,Python 3.8; requirements.txt,high,Ford=medium; SWaT=high; PaySim=low; Arrhythmia=low,appendix,"Diffusion-based representative with official code and SWaT, but heavier integration",license uncertain
catch_2025,CATCH,CATCH: Channel-Aware Multivariate Time Series Anomaly Detection via Frequency Patching,Xingjian Wu; Xiangfei Qiu; Zhengyu Li; Yihang Wang; Jilin Hu; Chenjuan Guo; Hui Xiong; Bin Yang,2025,ICLR,frequency_reconstruction,temporal,channel-correlation attention,learned implicit,10 real-world and 12 synthetic datasets; exact list from paper needed,not verified,https://arxiv.org/pdf/2410.12261,https://github.com/decisionintelligence/CATCH,not visible on GitHub page,GitHub page observed; exact latest activity not verified,Python 3.8; requirements.txt,medium,Ford=high; SWaT=unknown; PaySim=low; Arrhythmia=low,main_benchmark,Recent ICLR representative for channel-aware/frequency patching,dataset list and license need verification
dcdetector_2023,DCdetector,DCdetector: Dual Attention Contrastive Representation Learning for Time Series Anomaly Detection,Yiyuan Yang; Chaoli Zhang; Tian Zhou; Qingsong Wen; Liang Sun,2023,KDD,contrastive_transformer,temporal,dual attention,learned implicit,eight benchmark datasets; exact list pending paper extraction,not verified,https://dl.acm.org/doi/abs/10.1145/3580305.3599295,https://github.com/DAMO-DI-ML/KDD2023-DCdetector,not verified,GitHub repository found; latest activity not verified,Python/PyTorch; exact versions not verified,medium,Ford=high; SWaT=unknown; PaySim=low; Arrhythmia=low,main_benchmark,Representative contrastive attention method from KDD,requirements/license/datasets need verification
mtgflow_2023,MTGFlow,Detecting Multivariate Time Series Anomalies with Zero Known Label,Qihang Zhou; Shibo He; Haoyu Liu; Jiming Chen; Wenchao Meng,2023,AAAI,graph_normalizing_flow,temporal,dynamic graph,learned,six benchmark datasets; exact list pending,not verified,https://ojs.aaai.org/index.php/AAAI/article/view/25623,https://github.com/zqhang/MTGFLOW,MIT,GitHub page observed; latest activity not verified,Python/PyTorch; exact versions not verified,high,Ford=medium; SWaT=unknown; PaySim=medium; Arrhythmia=medium,appendix,Useful label-free/density representative; flow integration more complex,requirements/datasets need verification
memto_2023,MEMTO,MEMTO: Memory-guided Transformer for Multivariate Time Series Anomaly Detection,Song-Jun Ho; Hyun-Woo Lee; et al.,2023,NeurIPS,memory_transformer_reconstruction,temporal,attention implicit,learned implicit,industrial and spacecraft MTS benchmarks; exact list pending,not verified,https://openreview.net/forum?id=UFW67uduJd,https://github.com/gunny97/MEMTO,not verified,GitHub page found; latest activity not verified,Python/PyTorch; exact versions not verified,medium,Ford=high; SWaT=unknown; PaySim=low; Arrhythmia=low,main_benchmark,Representative memory-guided transformer from NeurIPS,authors/datasets/license need verification
dtaad_2024,DTAAD,DTAAD: Dual Tcn-Attention Networks for Anomaly Detection in Multivariate Time Series Data,Lingrui Yu,2024,Knowledge-Based Systems,forecast_reconstruct_attention_tcn,temporal,attention implicit,learned implicit,seven public datasets; exact list pending,not verified,https://doi.org/10.1016/j.knosys.2024.111849,https://github.com/Yu-Lingrui/DTAAD,not verified,GitHub page found; latest activity not verified,Python/PyTorch; exact versions not verified,medium,Ford=high; SWaT=unknown; PaySim=low; Arrhythmia=low,appendix,Lightweight hybrid forecasting/reconstruction method,repo details need verification
